Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max           Deleted,,,,,,,,,,,,,,Active,,,,,,,,,,,,,
"ss
MW61",,"SSMW611-000
MW6ll000",,,,"MOLOTOW 15MM EM
425039760110",,,,,$4.35,,,,$7.25,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,,0,,3,,,"No
2     reg $7.",,,,,,,Yes,,,0,,,0,,,,,,,
"ss
MW69",,"SSMW693006
MW693006",,,,"MOLOTOW 30ML YEL
425039760164",,,,,$5.61,,,,$7.00,,,,,EA,,,Yes,,,,ss,,,0,,,,,,,,,0,,0,,,"No
4     reg $1",,,,,,,Yes,,,0,,,0,,,,,,,
"ss
MW69",,"SSMW693013
MW693013",,,,"MOLOTOW 30 ML RED
425039760167",,,,,$5.79,,,,$7.00,,,,,EA,,,Yes,,,,ss,,,0,,,,,,,,,0,,0,,,"No
1    reg $1",,,,,,,Yes,,,0,,,0,,,,,,,
"ss
MW69",,"SSMW693085
MW693085",,,,"MOLOTOW 30 ML ORA
425039760172",,,,,$5.31,,,,$7.00,,,,,EA,,,Yes,,,,ss,,,0,,,,,,,,,0,,0,,,"No
2",,"Yes
reg $1                          0      0",,,,,,,,,,,,,,,,,,
"ss   SSMW69316l            MOLOTOW 30ML SHO                                                                                                                                          0            0         No                    Yes
MW69     MW693161             425039760182                    $5.79                    $7.00      EA         Yes          ss                 0             2     reg Sl                           0      0
ss   SSMW699008            MOLOTOW  IMM NIB S                                                                                                                                         0            0         No                    Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW69    MW699008,,,,,,425039760207,,,,,$3.33,,,,$4.69,,,,,Yes,,,,,,,ss,,,,,,,,,,,,0,,,,,5,,reg  $6 .,,,,,,,,0,,,0,,,,,,,
ss   SSMW699009,,,,,,MOLOTOW 2MM TIPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,No,,,,,,,Yes,,,,,,,,,,,,,
MW69     MW699009,,,,,,425039760208,,,,,$2.79,,,,$3.25,,,,,Yes,,,,,,,ss,,,,,,,,,,,,0,,,,,2,,reg$4.,,,,,,,,0,,,0,,,,,,,
ss   SSMW6990I2,,,,,,MOLOTOW (2) TIPS 4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,No,,,,,,,Yes,,,,,,,,,,,,,
MW69     MW6990l2,,,,,,425039760211,,,,,$3.24,,,,$3.89,,,,,Yes,,,,,,,ss,,,ss,,,,,,,,,0,,,,,3,,reg $5.,,,,,,,,0,,,0,,,,,,,
ss   SSMW699030,,,,,,MOLOTOW  l.5MM TIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,No,,,,,,,Yes,,,,,,,,,,,,,
MW69     MW699030,,,,,,425039760714,,,,,$3.33,,,,$3.89,,,,,Yes,,,,,,,ss,,,,,,,,,,,,0,,,,,7,,reg $5.,,,,,,,,0,,,0,,,,,,,
ss   SSMW699041,,,,,,MOLOTOW (2) TIPS 4-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,No,,,,,,,Yes,,,,,,,,,,,,,
MW69     MW699041,,,,,,425039760951,,,,,$4.08,,,,$4.76,,,,,Yes,,,,,,,ss,,,ss,,,,,,,,,0,,,,,3,,reg$6.,,,,,,,,0,,,0,,,,,,,
ss   SSMW703102,,,,,,CHROME MOLOTOW 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,No,,,,,,,Yes,,,,,,,,,,,,,
MW70     MW703102,,,,,,425039762548,,,,,$5.49,,,,$7.42,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,l,,REGP,,,,,,,,0,,,0,,,,,,,
ss   SSMW7ll000,,,,,,MOLOTOW 60MM EM,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,No,,,,,,,Yes,,,,,,,,,,,,,
MW71     MW711000,,,,,,425039760327,,,,,$8.70,,,,$14.50,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,1,,reg$1,,,,,,,,0,,,0,,,,,,,
ss   SSMW830204,,,,,,MOLOTOW I00ML EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,No,,,,,,,Yes,,,,,,,,,,,,,
MW83     MW830204,,,,,,425039760316,,,,,$4.77,,,,$5.56,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,2,,,,,reg $7.,,,,,,,,0,,,0,,,,,,,
ss   SSNW00141,,,,,,GREY GLASS PALETT,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,No,,,,,,,,,,Yes,,,,,,,,,,,,,
NWOOl    NW00141               853089004359,,,,,,,,,,$16.17,,,$26.95,,,,,,EA,,Yes,,,,ss,,,,0             0                                          0       0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SSNW00241               WHITE GLASS PALETT
NW002   NW00241                853089004397",,,,,,,,,,$16.l 7,,,$26.95,,,,,,EA,,Yes,,,,ss,,,,"0                        No                     Yes
0                                                       0       0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 129 of  186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor   Item ID,,,,,Description,,,,,,,,Dept          M11ufactvrer                                      Lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product ID  Alternate ID,,,,,Barcode,,,,Cost,,,,Price          Unit     Tax            Supplier I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cation               Min       Max           Dele ted              Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier2                   QCom   QOH  Note        Multiplier           Fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSNW00341              CLEAR GLASS PALEIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
NW003   NW00341               853089004403,,,,,,,,,,,$17.97,,,,,$24.95,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSP209                      0.9MM PENTEL MECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
P209        P209                       072512005552,,,,,,,,,,,$3.30,,,,,$6.59,,,,,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB37500W075      SELECT OVAL WASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB37500W075       75706337560S,,,,,,,,,,,$4.27,,,,,$12.9S,,,,,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750AS02S       SELECT ANGULAR SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750AS025        757063375049,,,,,,,,,,,$1.82,,,,,$5.50,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750AS037       SELECT ANGULAR SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750AS037        757063375056,,,,,,,,,,,$2.S6,,,,,$7.7S,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750AS050       SELECT ANGULAR SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750AS050        757063375063,,,,,,,,,,,$3.61,,,,,$10.9S,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750AS062       SELECT ANGULAR SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750AS062        757063375070,,,,,,,,,,,$4.21,,,,,$12.9S,,,,,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750AS07S       SELECT ANGULAR SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750AS075        7S7063377197,,,,,,,,,,,$4.83,,,,,$14.65,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750BB150       SELECT BRISTLE BRIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750BB150        757063375599,,,,,,,,,,,$3.61,,,,,$10.95,,,,Yes,,,,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss        SSPB3750BBL2        SELECT SCUMBLER R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750BBL2         757063377166,,,,,,,,,,,$1.82,,,,,$5.50,,,,Yes,,,,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750BBL-6       SELECT SCUMBLER R,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750BBL6         757063377173,,,,,,,,,,,$2.56,,,,,$7.75,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750BF-10-0    SELECT BRISTLE FAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750BFIOO        757063377142,,,,,,,,,,,$1.61,,,,,$4.95,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750BF-2          SELECT BRISTLE FAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
PB37S0   PB3750BF2            757063375551,,,,,,,,,,,$1.80,,,,,$5.45,,,,,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750BF-4          SELECT BRISTLE FAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750BF4            757063375568,,,,,,,,,,,$2.52,,,,,$7.75,,,,,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750BM-050    SELECT BLACK HAIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
PB37S0   PB3750BM050       757063377333,,,,,,,,,,,$2.9S,,,,,$8.95,,,,,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750BM-075    SELECT BLACK HAIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750BM075       757063377340,,,,,,,,,,,$4.13,,,,,$12.50,,,,,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750BM-100    SELECT BLACK HAIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750BM100       757063377357,,,,,,,,,,,$4.70,,,,,$14.25,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750CB-10       SELECT cmSEL BLEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750CB10          757063375674,,,,,,,,,,,$3.61,,,,,$10.95,,,,EA,,,Yes,,,,ss,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
No       Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1                                        0      0
No       Yes
0                                         0       0
No       Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0       0
No       Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3                                         0       0
No       Yes
4                                         0       0
No       Yes
3                                         0       0
No       Yes
4                                         0       0
No       Yes
3                                        0      0
No       Yes
3                                        0      0
No       Yes
4                                        0      0
No       Yes
3                                         0       0
No       Yes
3                                         0       0
No       Yes
3                                         0       0
No       Yes
No       Yes
3                                         0       0
No       Yes
2                                         0       0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No       Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2                                        0      0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No       Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3                                         0       0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750CB-12       SELECT cmSEL BLEN                                                                                                                                          2            3         No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
PB3750   PB3750CB12          757063375681                    $3.75                  $11.35      EA        Yes         ss                 0             2                                        0      0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 130 of  186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor   Item ID,,,,DeKription,,,,,,,,,Dept         Ma_ufacturer                                    Locati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product ID  Alternate ID,,,,Barcode,,,,,Cost,,,,Price         Unit    Tax           Supplier 1      Su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
on               Mia   Mu     Deleted             Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Multiplier
Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fix,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,
pplier 2                 QCom   QOH  Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB375     0CB-2         SELECT CIDSEL BLEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4        No,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750CB2            757063375636,,,,,,,,,,,$1.63,,$4.95,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750CB-4         SELECT CIDSEL BLEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4        No,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750CB4            757063375643,,,,,,,,,,,$1.77,,$5.35,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,,,
ss   S SPB3750CB-6         SELECT CIDSEL BLEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4         No,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750CB6           757063375650,,,,,,,,,,,$1.90,,$5.75,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750CB-8         SELECT CIDSEL BLEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4         No,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750CB8            757063375667,,,,,,,,,,,$2.62,,$7.95,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,
ss   S SPB3750DF-012     SELECT DEERFOOT  I/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4         No,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750DF012        757063375773,,,,,,,,,,,$1.95,,$6.95,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,,,
ss   SS  PB3750DF-025      SELECT DEERFOOT  I/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4         No,,,,,,,,,,,,,,,,,,,,,,,
PB37SO   PB37SODF025        757063375438,,,,,,,,,,,$3.42,,$I O.J S,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,,,
ss   S SPB3750DF-032     SELECT DEERFOOT 3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4         No,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750DF032        757063375964,,,,,,,,,,,$3.61,,$10.95,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,,,
ss   SS  PB3750DF-037     SELECT DEERFOOT 3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4         No,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB37SODF037        757063375445,,,,,,,,,,,$4.21,,$12.95,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,,,
ss   SS  PB3750DF-062     SELECT DEERFOOT SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4          No,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750DF062        757063375452,,,,,,,,,,,$4.87,,$14.75,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,,,
ss   SSP  B3750DG-025    SELECT DAGGER STRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4         No,,,,,,,,,,,,,,,,,,,,,,,
PB37S0   PB3750DG02S       75706337S612,,,,,,,,,,,$2.56,,$7.75,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,,,
ss   SS  PB3750FB-10       SELECT FILBERT  I0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3         No,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB37SOF BJO          757063375124,,,,,,,,,,,$3.61,,$10.95,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,
ss   SS  PB3750FB-12       SELECT FILBERT 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3         No,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB37SOF B12          757063375131,,,,,,,,,,,$3.84,,$11.6S,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,,,
ss   SS  PB3750FB-l 6        SELECT FILBERT 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3         No,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750FB16          757063377210,,,,,,,,,,,$4.87,,$14.75,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,
ss   SS  PB3750FB-2         SELECT FILBERT 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,6         No,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB37SOFB2            757063375087,,,,,,,,,,,$1.61,,$4.95,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,,0,,4,,,,,,,,,,,,,,,,,,,,,,,
ss   SS  PB3750FB-4         SELECT FILBERT 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,6         No,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750FB4            757063375094,,,,,,,,,,,$1.73,,$5.25,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,,,0,,4,,,,,,,,,,,,,,,,,,,,,,,
"ss   SSP  B3750FB-6         SELECT FILBERT 6                                                                                                                                                2            4         No
PB3750   PB37SOFB6            757063375100                    $1.90                    $5.75      EA          Yes        ss                 0             2
ss   SS  PB3750FB-8          SELECT FILBERT 8                                                                                                                                                2            4         No
PB3750   P
ss   SS  PB3750FG-012     SELECT FILBERT GRAI                                                                                                                                         2            4         No
PB3750   P
ss   SSPB37SOFG-02S     SELECT FILBERT GRAI                                                                                                                                         2            4         No
PB3750   P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B37SOFB8            757063375117                    $2.62                    $7.95      EA         Yes         ss                 0             3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B37SOF G012        757063375759                    $1.61                    $4.95      EA         Yes        ss                 0             3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
